Bolnica                   ,05:35 ,06:05 ,06:35 ,07:05 ,07:35 ,08:05 ,08:35 ,09:05 ,09:35 ,13:05 ,13:35 ,14:05 ,14:35 ,15:05 ,15:35 ,16:05 ,16:35 ,17:05
Kvedrova                  ,05:40 ,06:07 ,06:37 ,07:07 ,07:37 ,08:07 ,08:37 ,09:07 ,09:37 ,13:07 ,13:37 ,14:07 ,14:37 ,15:07 ,15:37 ,16:07 ,16:37 ,17:07
Markovec-Center Za gradom ,05:37 ,06:10 ,06:40 ,07:10 ,07:40 ,08:10 ,08:40 ,09:10 ,09:40 ,13:10 ,13:40 ,14:10 ,14:40 ,15:10 ,15:40 ,16:10 ,16:40 ,17:10
Markovec Š                ,05:41 ,06:11 ,06:41 ,07:11 ,07:41 ,08:11 ,08:41 ,09:11 ,09:41 ,13:11 ,13:41 ,14:11 ,14:41 ,15:11 ,15:41 ,16:11 ,16:41 ,17:11
Nova K                    ,05:44 ,06:07 ,06:37 ,07:07 ,07:37 ,08:07 ,08:37 ,09:07 ,09:37 ,13:07 ,13:37 ,14:07 ,14:37 ,15:07 ,15:37 ,16:07 ,16:37 ,17:07
Mandrač                   ,05:43 ,06:14 ,06:44 ,07:14 ,07:44 ,08:14 ,08:44 ,09:14 ,09:44 ,13:14 ,13:44 ,14:14 ,14:44 ,15:14 ,15:44 ,16:14 ,16:44 ,17:14
Pasarela                  ,05:45 ,06:15 ,06:45 ,07:15 ,07:45 ,08:15 ,08:45 ,09:15 ,09:45 ,13:15 ,13:45 ,14:15 ,14:45 ,15:15 ,15:45 ,16:15 ,16:45 ,17:15
Tomšičeva                 ,05:46 ,06:16 ,06:46 ,07:16 ,07:46 ,08:16 ,08:46 ,09:16 ,09:46 ,13:16 ,13:46 ,14:16 ,14:46 ,15:16 ,15:46 ,16:16 ,16:46 ,17:16
Tomšičeva K               ,05:47 ,06:17 ,06:47 ,07:17 ,07:47 ,08:17 ,08:47 ,09:17 ,09:47 ,13:17 ,13:47 ,14:17 ,14:47 ,15:17 ,15:47 ,16:17 ,16:47 ,17:17
Lesnina                   ,05:52 ,06:07 ,06:37 ,07:07 ,07:37 ,08:07 ,08:37 ,09:07 ,09:37 ,13:07 ,13:37 ,14:07 ,14:37 ,15:07 ,15:37 ,16:07 ,16:37 ,17:07
Zeleni park               ,05:50 ,06:22 ,06:52 ,07:22 ,07:52 ,08:22 ,08:52 ,09:22 ,09:52 ,13:22 ,13:52 ,14:22 ,14:52 ,15:22 ,15:52 ,16:22 ,16:52 ,17:22
Banka                     ,05:53 ,06:23 ,06:53 ,07:23 ,07:53 ,08:23 ,08:53 ,09:23 ,09:53 ,13:23 ,13:53 ,14:23 ,14:53 ,15:23 ,15:53 ,16:23 ,16:53 ,17:23
Luka                      ,05:55 ,06:25 ,06:55 ,07:25 ,07:55 ,08:25 ,08:55 ,09:25 ,09:55 ,13:25 ,13:55 ,14:25 ,14:55 ,15:25 ,15:55 ,16:25 ,16:55 ,17:25
Supernova                 ,05:57 ,06:27 ,06:57 ,07:27 ,07:57 ,08:27 ,08:57 ,09:27 ,09:57 ,13:27 ,13:57 ,14:27 ,14:57 ,15:27 ,15:57 ,16:27 ,16:57 ,17:27
Koper                     ,05:59 ,06:29 ,06:59 ,07:29 ,07:59 ,08:29 ,08:59 ,09:29 ,09:59 ,13:29 ,13:59 ,14:29 ,14:59 ,15:29 ,15:59 ,16:29 ,16:59 ,17:29
